\KEY,EN,VN
TOPUP_IN_PROGRESS,"In progress, please wait...","Đang xử lý, vui lòng đợi..."
TOPUP_PURCHASED_NOT_SUPPORTED,Billing not supported,Không hỗ trợ thanh toán
DATA_MISTYPED,"You have entered invalid value. Please recheck again!","Bạn nhập sai dữ liệu, xin hãy kiểm tra lại!"

INVITE_INVITE, {0} invite you to play {1} mode!, {0} mời bạn chơi chế độ {1}!
INVITE_INVITE_BUTOON,Invite,Mời
INVITE_TYTLE,invite1,invite2
INVITE_FRIEND_NOT_FOUND,Your friend is not found,Không có người chơi rảnh rỗi

LOGIN_GUEST,Guest,TK Khách

ROOM,Room,Bàn
NOTIFY_RECONNECT,The connection to Internet is failt. System automatically reconnect, Kết nối mạng bị mất. Hệ thống sẽ tự động kết nối lại 
NO_READY,You were not ready for next game,Bạn chưa sẵn sàng cho ván mới
CHAT_SEND,Send,Gửi
CHAT_ENTER,"Touch here to chat!","Chạm vào đây để chat!"

RANK_FIRST,nhat1,nhat2
RANK_SECOND,nhi1,nhi2
RANK_THIRD,ba1,ba2
RANK_FOURTH,bet1,bet2
THANG_TRANG,Thangtrang1,Thangtrang
INSTANT_WIN,thang_eng,thang
INSTANT_LOSE,thua_eng,thua
INSTANT_WIN_TEXT,Instant Win,Thắng trắng
LEVEL_UP,levelup,levelup
HOTLINE,Hotline: 19001294,Hotline: 19001294
DAILY_CHIP,You received {0} daily chip. Thanks for playing game, Bạn nhận được {0} xu hàng ngày. Chúc bạn chơi vui thắng lớn.
SETTING_UPDATE,Your setting has been saved,Các thiết lập của bạn đã được lưu
NOT_ENOUGH_MONEY,Not enough chip!,Không đủ chip!
EXIT_IM,Exit Now,Thoát luôn
WAIT_END_GAME, Wait, Đợi hết ván
CHIP,Chip,Xu
LEAVE_AT_GAME, I will leave at game ending, Tôi chơi hết ván này.
KICK_CONFIRM, Do you want to kick this player?, Bạn muốn đuổi người này ra khỏi bàn?
KICK_YES,Kick,Đuổi
NOT_ENOUGH_CHIP_YES,Buy chips,Nạp tiền
NOT_ENOUGH_CHIP_NO,Exit,Thoát

DAILY_REWARD,Daily Reward: ,Thưởng hàng ngày: 
DAILY_REWARD_INFO,Daily login recived free chip,Login hàng ngày để nhận xu
DAILY_CHIP_DAY1,First day,Ngày thứ nhất
DAILY_CHIP_DAY2,Second day,Ngày thứ hai
DAILY_CHIP_DAY3,Third day,Ngày thứ ba
DAILY_CHIP_DAY4,Fourth day,Ngày thứ tư
DAILY_CHIP_DAY5,Fifth day,Ngày thứ năm
DAILY_CHIP_DAY6,Sixth day,Ngày thứ sáu
NOTIFY_UPDATE_LINK, Please update new version to play this game,Vui lòng cập nhật phiên bản mới để chơi game này. Cập nhật?


OFFLINE_TITLE,Free southern poker, Game Tiến lên miễn phí
OFFLINE_PLAY_NOW,Play Now,Bắt đầu
OFFLINE_WELCOME,Welcome to our free version of southern poker. You can play this game with no need money and internet connection,Chào mừng bạn đến với phiên bản tiến lên miễn phí của chúng tôi. Bạn có thể chơi game này ngay cả khi không có xu và không cần kết nối mạng
OFFLINE_RESUME_YES,Resume,Chơi tiếp
OFFLINE_RESUME_NO,New Game,Ván mới
OFFLINE_RESUME_QUESTION,Do you want to resume the last game?,Bạn tiếp tục chơi ván cũ hay chơi ván mới?
OFFLINE_GS_RECONNECT_TIMEOUT,Internet connection not stable or interrupted. Do you want to play Boss Battle?, Kết nối mạng gián đoạn hoặc không ổn định. Bạn có muốn chơi đấu Boss không?
OFFLINE_GS_RECONNECT_TIMEOUT_YES,Reconnect,Kết nối lại
OFFLINE_GS_RECONNECT_TIMEOUT_NO,Play Boss Battle,Chơi đấu Boss

INVITE_FB_FRIENDS_SUCCESS,"Successfully Invited","Đã gửi thành công"
INVITE_FB_FRIENDS_ERROR,"Invite Error","Có lỗi khi gửi"
INVITE_FB_FRIENDS_NOTPERMITTED,"Permision Not Permitted","Không có đủ quyền để gửi"

BATTLE_TEAM,Team,Đấu đội
BOMB_BATTLE,Solo,Đấu đơn
KICKED_TIMEOUT,Connection very slow. Please play again!,Kết nối quá chậm. Chơi lại nào..
NETWORK_UNSTABLE,Warning unstable network!, Cảnh báo mạng đang không ổn định!
